Player,Team,0,1,2,3,4,5,6
Shorts II T. ,Telekom Baskets Bonn,-2.2356409086192346,0.8036128884533599,-3.039405386528459,-2.3682987642888578,-1.9999464722046787,-0.8307162706892715,1.6127432018676287
Russell D. ,EWE Baskets Oldenburg,-2.489735948804022,-0.35383487008444553,-3.363854878420336,-2.679864263946716,0.864953057184837,-0.01487485412213539,-1.0367554420624723
Washington E. ,MLP Academics Heidelberg,-2.2958987156011257,-0.45106170547188923,-2.7821817789633374,-1.6939642306745462,-1.1629066115610622,0.1256660304910702,-0.9816854036214454
Whittaker S. ,Würzburg Baskets,-2.2131642877869937,1.0201943178492847,-2.8526491034300463,-0.7720969627020974,1.2409550561733944,-2.2256272020576526,0.36810953711438177
Hunt C. ,Würzburg Baskets,-1.925753004187152,0.6134507602422586,-2.7221734234835147,0.8688055510266195,-1.5524104998299926,-1.2962411560744713,-2.37980995243907
Hubb P. ,MHP RIESEN Ludwigsburg,-1.6491571572120811,-2.0334655760004017,-1.7250868513788578,-0.3310229514095593,-2.5801096829468224,0.09010729712047853,0.19870345096183403
Alston Jr. D. ,ROSTOCK SEAWOLVES,-1.5099629057463608,-0.3719611293923588,-1.7144943219072393,2.684006141137932,-2.373078388456718,-0.024539946253836327,-3.5981673967636314
Childress B. ,medi bayreuth,-1.26303289947714,-1.1568147874544543,-1.4735466088974178,-0.7632746023765127,2.5771996897936256,1.085629216899034,-0.9699005790509678
Krämer D. ,Basketball Löwen Braunschweig,-1.4135175140047849,-1.4261289523500427,-0.8014460747802199,2.763552917471294,-1.5386185498479377,0.5924479693564305,-3.1071369788996126
Dunn J. ,MHP RIESEN Ludwigsburg,-1.0675107263729018,-1.9860106031842546,-0.081002847076189,2.7651053989599634,-1.0298221851380625,-1.4224323352728871,1.526974277113489
Beliauskas L. ,FRAPORT SKYLINERS,-1.0989634605913035,-1.9481178336342044,-0.292382784462583,1.2411818505949566,-2.0181814161114158,0.3186327757470672,1.95470321228552
